Lat,Lon,Anisotropie,Unnamed: 3
75.616,-36.135999999999996,0.0,
75.616,-36.144,0.0,
75.615,-36.150999999999996,0.0,
75.61399999999999,-36.159,0.0,
75.613,-36.167,0.0,
75.612,-36.174,0.0,
75.612,-36.181999999999995,0.0,
75.611,-36.19,0.0,
75.61,-36.198,0.0,
75.61,-36.205999999999996,0.0,
75.609,-36.214,0.0,
75.608,-36.222,0.0,
75.608,-36.23,0.0,
75.608,-36.238,0.0,
75.608,-36.246,0.0,
75.608,-36.254,0.0,
75.608,-36.262,0.0,
75.609,-36.27,0.0,
75.61,-36.277,0.0,
75.612,-36.283,0.0,
75.613,-36.289,0.0,
75.615,-36.293,0.0,
75.617,-36.296,0.0,
75.619,-36.297,0.0,
75.62100000000001,-36.297,0.0,
75.623,-36.296,0.0,
75.625,-36.293,0.0,
75.627,-36.29,0.36663,
75.62899999999999,-36.285,0.36723,
75.63,-36.28,0.36969,
75.632,-36.274,0.37405,
75.633,-36.266999999999996,0.0,
75.634,-36.26,0.37695,
75.635,-36.253,0.38058000000000003,
75.63600000000001,-36.245,0.38058000000000003,
75.637,-36.238,0.38493,
75.638,-36.23,0.38566,
75.638,-36.223,0.38929,
75.639,-36.215,0.0,
75.64,-36.207,0.39219,
75.641,-36.199,0.40235,
75.641,-36.191,0.40961000000000003,
75.642,-36.183,0.41468999999999995,
75.643,-36.176,0.41686999999999996,
75.643,-36.168,0.41831999999999997,
75.64399999999999,-36.16,0.42195,
75.645,-36.152,0.42268,
75.646,-36.144,0.42268,
75.646,-36.135999999999996,0.42558,
75.64699999999999,-36.129,0.42558,
75.648,-36.121,0.42486,
75.648,-36.113,0.42406000000000005,
75.649,-36.105,0.42631,
75.65,-36.097,0.42631,
75.65100000000001,-36.089,0.42618999999999996,
75.65100000000001,-36.082,0.42631,
75.652,-36.074,0.42631,
75.653,-36.066,0.42486,
75.653,-36.058,0.42123,
75.654,-36.05,0.41831999999999997,
75.655,-36.042,0.4176,
75.656,-36.035,0.41541999999999996,
75.656,-36.027,0.41179,
75.657,-36.019,0.41026999999999997,
75.658,-36.010999999999996,0.40744,
75.658,-36.003,0.40163000000000004,
75.65899999999999,-35.995,0.38929,
75.66,-35.988,0.37985,
75.66,-35.98,0.37259000000000003,
75.661,-35.972,0.353,
75.66199999999999,-35.964,0.34574,
75.663,-35.955999999999996,0.33921,
75.663,-35.948,0.3363,
75.664,-35.94,0.31671,
75.665,-35.931999999999995,0.30509000000000003,
75.665,-35.925,0.2884,
75.666,-35.917,0.25719000000000003,
75.667,-35.909,0.25178,
75.667,-35.900999999999996,0.24686999999999998,
75.668,-35.893,0.23481,
75.669,-35.885,0.22498,
75.67,-35.876999999999995,0.21336999999999998,
75.67,-35.869,0.20801,
75.671,-35.861999999999995,0.2031,
75.672,-35.854,0.19863,
75.672,-35.846,0.1955,
75.673,-35.838,0.19147999999999998,
