lat,lon,x,y,lmin,lmax,lvert,Exx,Exy,Exz,Eyy,Eyz,Ezz,dTc_exx,dTc_exy,dTc_exz,dTc_eyy,dTc_eyz,dTc_ezz,dTt_exx,dTt_exy,dTt_exz,dTt_eyy,dTt_eyz,dTt_ezz
75.629,-36.285,237075.93629902,-1546590.10565258,0.0,0.36723,0.63277,0.021556500199570366,1.0993679860367844,1.3830251474722908,0.8025160530114487,1.2506912803555488,1.084495838518272,-30.031248399903316,0.8440590142236651,2.912688952060511,-1.9386765002319404,2.002142385787393,0.722361252593206,-13.772947964720592,0.3593174716029603,1.2340026294186388,-0.8306719216945256,0.8500271889425467,0.3075975360241298
75.62999999999998,-36.28,237194.227212819,-1546460.70212132,0.0,0.36969,0.63031,0.021554060897319004,1.1019894626984883,1.3803893741304287,0.805124365760989,1.2506912802439751,1.081879018703814,-30.032029022880398,0.8653515762800685,2.8953583307792976,-1.9102981349117307,2.002142384982629,0.700787627502399,-13.773332902620512,0.36836352031966835,1.2267094490968726,-0.8184581904433753,0.8500271886024628,0.2984259765343972
75.632,-36.274,237322.800974234,-1546218.44117547,0.0,0.37405,0.62595,0.02154985331830329,1.1066359022498635,1.3757182844105813,0.8097474041600291,1.2506912800462262,1.0772413063960211,-30.033375722755768,0.9029761764416311,2.864569528055318,-1.8602091161106211,2.002142383556293,0.662433880330876,-13.77399698579391,0.38434597249205527,1.2137512701359277,-0.7969043939909303,0.8500271879997106,0.282118438990747
75.634,-36.26,237667.183418762,-1545943.0016523,0.0,0.37695,0.62305,0.021547136456261592,1.1097265902072484,1.3726116866219311,0.8128224767341552,1.2506912799146963,1.0741567587950491,-30.03424542698809,0.9279218152828252,2.84403902272202,-1.8270389032782488,2.0021423826075875,0.6368396686607788,-13.774425855776853,0.39494102187863,1.2051095065231379,-0.7826337058213808,0.8500271875987989,0.27123447907979725
75.635,-36.253,237839.329532424,-1545805.25374511,0.0,0.38058,0.61942,0.021543827492559016,1.1135954741338827,1.3687234329047366,0.8166717566155086,1.2506912797500562,1.0702959389556714,-30.035304809924103,0.9590575845477664,2.8182818892396093,-1.7856816172007568,2.002142381420063,0.6047078353090811,-13.77494826295846,0.4081634539683495,1.1942665731452042,-0.7648438275815309,0.8500271870969652,0.2575685553519097
75.63599999999998,-36.245,238038.422521572,-1545663.33276241,0.0,0.38058,0.61942,0.021543827492559016,1.1135954741338827,1.3687234329047366,0.8166717566155086,1.2506912797500562,1.0702959389556714,-30.035304809924103,0.9590575845477664,2.8182818892396093,-1.7856816172007568,2.002142381420063,0.6047078353090811,-13.77494826295846,0.4081634539683495,1.1942665731452042,-0.7648438275815309,0.8500271870969652,0.2575685553519097
75.637,-36.238,238210.506078305,-1545525.54434363,0.0,0.38493,0.61507,0.02153999630678184,1.1182320131043424,1.3640644772970392,0.8212847167779539,1.2506912795527612,1.0656696176194695,-30.036531575837905,0.9962390510707548,2.7873296824181706,-1.736357453544712,2.002142379997004,0.5660628571715741,-13.775553214172255,0.4239508063974173,1.1812349691656865,-0.743631488702369,0.8500271864955977,0.24112983334067245
75.638,-36.23,238409.531623608,-1545383.57638328,0.0,0.38566,0.61434,0.021539367664324828,1.1190101347302184,1.3632826784589651,0.8220588721001073,1.2506912795196514,1.0648932699237668,-30.03673289002188,1.0024649388657427,2.7821261074548844,-1.72810504990141,2.0021423797581868,0.5595625258208455,-13.775652487957235,0.4265940687269008,1.1790439589164656,-0.7400829397234027,0.8500271863946763,0.23836444524882527
75.638,-36.223,238598.33406515696,-1545354.43763089,0.0,0.38929,0.61071,0.02153630259838211,1.122879520995894,1.3593953674270183,0.8259084950742082,1.2506912793550122,1.0610329576273931,-30.037714514603984,1.0333649403449896,2.756211317473441,-1.6871755884914112,2.0021423785706687,0.5271747054661796,-13.776136556563252,0.43971183863447144,1.1681315265468892,-0.7224852190731857,0.8500271858928454,0.224584686796985
75.64,-36.207,238996.245555798,-1545070.37745364,0.0,0.39219,0.60781,0.02153392666845095,1.1259709255453683,1.356290073012883,0.8289840615507988,1.250691279223482,1.0579491051838457,-30.0384755251928,1.0579811176913747,2.7354603328018525,-1.6546032896373752,2.002142377621961,0.5012225321220416,-13.776511835411636,0.45016063088130753,1.1593925718577507,-0.7084830876133079,0.850027185491933,0.2135415472222157
75.641,-36.199,239195.14884102,-1544928.30956518,0.0,0.40235,0.59765,0.021526110666860325,1.1368026176855084,1.3454127173874115,0.8397599110694507,1.2506912787626723,1.0471459977584567,-30.040979547193896,1.1437386245607335,2.662423133824564,-1.5413600720723684,2.002142374298208,0.4097508158120736,-13.777746659461698,0.48655265867614694,1.1286274124331699,-0.6598188555666044,0.8500271840873546,0.17460796949396765
75.641,-36.191,239410.859194376,-1544894.89656248,0.0,0.40961,0.59039,0.021521007806044722,1.1445436495865926,1.337641897404089,0.8474606899336264,1.250691278433393,1.0394274230358231,-30.042614817235492,1.2045623868188151,2.6099083702909645,-1.461257971637042,2.0021423719231644,0.3438574116164484,-13.778553078777968,0.5123550224902688,1.1065004041042972,-0.6254119770019272,0.8500271830836897,0.14655114810131825
75.64199999999998,-36.183,239609.707660153,-1544752.77571757,0.0,0.41469,0.58531,0.021517675219412,1.1499607738514699,1.3322053295073295,0.8528494682887786,1.2506912782029889,1.0340270225840262,-30.04368297906408,1.2468994586111684,2.5729995615225607,-1.4056065851852255,2.002142370261293,0.29748318956626707,-13.779079837137155,0.5303107481909192,1.090945718850354,-0.6015151876401226,0.8500271823814031,0.1268002595609719
